"""Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2018""";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Renda (R$);Público ;;;;
2018;B1800380700000;"""10 Segundos Para Vencer""";José Alvarenga Jr,;Ficção;"""Tambellini Filmes""";RJ;"""Globo Filmes/Canal Brasil/Xanadu""";RJ;Imagem;301;"""801026""";49,147;;;;
2018;B1800469700000;"""A Cabeça De Gumercindo Saraiva""";Tabajara Ruas;Ficção;"""Walper Ruas Produções""";RS;""" -"""; -;Elo Company;27;"""53687""";4,959;;;;
2018;B1600756100000;"""A Cidade Do Futuro""";Cláudio Marques/Marilia Hughes Guerreiro;Ficção;"""Coisa de Cinema""";BA;""" -"""; -;Vitrine Filmes/Espaço Filmes;22;"""153437""";11,786;;;;
2018;B1600680500000;"""A Destruição De Bernardet""";Claudia Priscilla/Pedro Marques;Documentário;"""Paleo TV""";SP;"""Válvula Produções/Canal Brasil""";SP/RJ;Paleotv;12;"""10352""";1,355;;;;
2018;B1800033200000;"""A Imagem Da Tolerância""";Paula Trabulsi/Joana Mariani;Documentário;"""Maya Filmes/Planetário Filmes""";SP/RJ;"""Globo Filmes""";RJ;Espaço Filmes;8;"""10006""";671;;;;
2018;B1600441200000;"""A Luta Do Século""";Sérgio Machado;Documentário;"""Lata Filmes/Mar Grande Produções/Muiraquitã Filmes/Ondina Filmes/Planetario Filmes""";RJ/SP/SP/BA/RJ;""" -"""; -;Vitrine Filmes;24;"""30506""";2,569;;;;
2018;B1500169900000;"""A Misteriosa Morte De Pérola""";Guto Parente;Ficção;"""Tardo Filmes""";CE;"""Alumbramento""";CE;Embaúba Filmes;4;"""1100""";147;;;;
2018;B1700605000000;"""A Moça Do Calendário""";Helena Ignez;Ficção;"""Mercúrio Produções""";SP;""" -"""; -;Pandora;15;"""24712""";2,716;;;;
2018;B1600543700000;"""A Repartição Do Tempo""";Santiago Dellape;Ficção;"""400 Filmes""";DF;"""Santiago Dellape/Davi Mattos"""; -;O2 Play;35;"""34722""";2,497;;;;
2018;B1700248900000;"""A Superfície Da Sombra""";Paulo Nascimento;Ficção;"""Accorde Filmes""";RS;""" -"""; -;Panda Filmes;15;"""17097""";1,178;;;;
